"gene_symbol","ensembl_id","baseMean","log2FoldChange","padj","binding_status","expression_status","Category","Direction"
"CRACD","ENSG00000109265",2486.1470341759,6.78155916745644,2.53646432396452e-273,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"SPARCL1","ENSG00000152583",493.072226610584,5.29555818816214,4.1602810000903e-113,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"SEMA6A","ENSG00000092421",583.457578159727,3.56722533787899,3.9197639243228e-106,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF432","ENSG00000256087",1331.3916281653,2.60779489843246,8.85088995801611e-94,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LCP1","ENSG00000136167",408.765245346166,3.90446607628467,8.11229834637924e-90,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"AFDN","ENSG00000130396",6248.55426892884,2.14031690053807,7.74797166535743e-81,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"MAP2K5","ENSG00000137764",1520.8068137411,2.02669464438659,6.57262551724144e-50,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"MINAR1","ENSG00000169330",572.218265118616,1.9670311226779,8.51274641064849e-40,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZDHHC9","ENSG00000188706",3080.97699144058,1.51738932273801,1.3186172859508e-36,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"RNF152","ENSG00000176641",313.253064700872,2.17893903995659,5.28345478208223e-35,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"CRACDL","ENSG00000196872",105.639956879956,4.43466723885198,1.35773312042753e-32,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"FGF7","ENSG00000140285",114.568285638892,5.49135662744891,1.54397565605053e-32,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"PALMD","ENSG00000099260",100.344601526085,4.20878864626901,9.57198639471781e-32,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"BTBD10","ENSG00000148925",717.168679264967,1.66913644423856,5.95665917214193e-26,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"SLC16A9","ENSG00000165449",2363.21157528285,1.48989658503598,1.17935954120905e-25,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"GDAP1","ENSG00000104381",1129.52629241699,1.36635685121315,2.92613902805736e-24,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"TDO2","ENSG00000151790",155.266394253067,2.26168020327853,4.42081007193404e-24,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"THBS2","ENSG00000186340",2394.49870036419,1.42608728940959,6.14594025339529e-24,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"SMCO2","ENSG00000165935",74.8789468830994,3.59760848076053,9.76397766770509e-24,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"NCF2","ENSG00000116701",132.600897616133,2.0463810727312,1.74015509629303e-20,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"IP6K1","ENSG00000176095",3429.01757082482,1.10449710239314,8.3939710027476e-20,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF433","ENSG00000197647",565.760800861627,1.26302904126043,5.0476033902478e-19,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ATP8B1","ENSG00000081923",391.663921637666,1.45521528395998,3.8526967462993e-18,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF799","ENSG00000196466",166.615593713851,1.81302849041214,4.00554411934057e-18,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"MYPN","ENSG00000138347",51.1743323945575,4.66961291101899,6.24233644845563e-18,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF823","ENSG00000197933",222.846104032908,1.48608185294736,1.87758588279959e-16,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"FRYL","ENSG00000075539",5363.47809114996,1.01386136717231,1.20325179564889e-15,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LRRN3","ENSG00000173114",421.883133179341,1.38456685661074,1.42997395456242e-15,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"FAM91A1","ENSG00000176853",4600.73517825723,1.13681751441007,1.6767585809978e-15,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"CPA4","ENSG00000128510",695.338128756452,1.29666957078588,9.86341425803481e-15,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LINC01198","ENSG00000231817",39.1265851302591,4.24661279650052,2.21028691799109e-14,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LOC105375523","ENSG00000232053",121.221814489121,1.70348445728628,1.04344719216911e-13,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF737","ENSG00000237440",242.430916571025,1.27386306209274,6.93462822601788e-13,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ERMN","ENSG00000136541",34.856307170749,4.60472769811508,9.33079399851264e-13,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF443","ENSG00000180855",176.69047356453,1.43692526526676,9.44403659566621e-13,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ARL6IP5","ENSG00000144746",2450.34316093472,1.58143322515901,3.32927598972366e-12,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"CHD9NB","ENSG00000277639",57.3547681516615,2.20450730202568,3.40159028792866e-12,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF565","ENSG00000196357",101.172823737497,1.66152990444431,1.97137247988232e-11,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ACE","ENSG00000159640",55.776234728247,2.27553183763789,2.20939482069501e-11,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"RAB4A-AS1","ENSG00000177788",272.194369555771,1.21968457884502,2.74092646969117e-11,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZFAND6","ENSG00000086666",2403.64079331382,1.13692625806835,3.59762340301032e-11,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"DNAH7","ENSG00000118997",181.74584859485,1.29376250584514,4.71650602479824e-11,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"AKR1B15","ENSG00000227471",32.2734313193136,3.30424993762751,1.07374946932591e-10,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZFP14","ENSG00000142065",230.094580162556,1.18379331554563,1.38616309617427e-10,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LINC02831","ENSG00000224173",31.8371085671884,3.31504676101306,2.33914917479127e-10,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"MAB21L3","ENSG00000173212",51.576862497383,2.12384910528493,2.35117167005126e-10,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"GARIN2","ENSG00000172717",45.5585897186371,2.23905806210608,1.41702234784324e-09,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LINC00536","ENSG00000249917",36.6046167482184,2.49894991652288,1.7923682741941e-09,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF878","ENSG00000257446",65.0393216353018,1.77648269217886,3.09032333966967e-09,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LOC112267986","ENSG00000287672",22.771993504519,4.49898608436375,1.07566113165205e-08,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"DDR2","ENSG00000162733",3045.79964205334,-4.52405488046812,8.7128848639006e-284,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PDE1C","ENSG00000154678",3988.73035117867,-4.11908970201714,5.07136069696543e-269,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"ARHGAP29","ENSG00000137962",5075.83310035065,-3.59028908769471,6.61492429424289e-205,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"H3C3","ENSG00000287080",889.348743871023,-5.79750108530536,1.78143213479321e-204,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"EPHA3","ENSG00000044524",4526.82238488291,-3.15926590086563,1.5599374742183e-148,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PSD3","ENSG00000156011",4234.51748008596,-3.11111775157525,1.55059069425127e-122,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"DCBLD2","ENSG00000057019",15386.4109331694,-2.59420650209385,8.09507897533245e-122,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"ARSJ","ENSG00000180801",1618.42653213867,-3.05204776402712,6.87454054232262e-121,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"CAMK2D","ENSG00000145349",3268.6792568659,-2.65329495309456,3.04941467964484e-118,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"COL5A2","ENSG00000204262",1549.06843970891,-3.25000987079925,3.51071821202547e-108,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"NDRG1","ENSG00000104419",7268.05076310648,-2.565119434629,1.41356880129664e-107,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"ASPM","ENSG00000066279",1268.82931193796,-3.06051803604177,7.35248215444903e-99,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"H2BC7","ENSG00000277224",292.29650718835,-5.44746146801954,1.88149732083129e-97,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"LRIG3","ENSG00000139263",1247.54612988638,-2.59470290398658,9.11184716506836e-92,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"MAP2","ENSG00000078018",1751.32036521664,-2.83049926392138,2.00849229628647e-91,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"BRCA2","ENSG00000139618",420.875366452831,-3.58088148343411,4.03341404924438e-86,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"COL8A1","ENSG00000144810",351.207319396756,-3.6564954861073,1.10621260980863e-82,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"SLC7A11","ENSG00000151012",2700.83583589595,-2.27253752313958,3.85486582274351e-82,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"STAC","ENSG00000144681",407.665582493453,-3.05667186402956,2.54859637247458e-76,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"OGFRL1","ENSG00000119900",1526.89947932764,-2.21959841322382,1.59185179359784e-66,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"ARB2A","ENSG00000113391",245.455085003863,-3.10482479117505,1.91230633013648e-65,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PLCB1","ENSG00000182621",1794.40904687845,-2.07202730111204,3.12488674710852e-65,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"LUCAT1","ENSG00000248323",244.796892584209,-3.13378972015276,7.78007177332e-65,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"SHROOM3","ENSG00000138771",572.96488203379,-2.56421531810794,5.5712489521283e-59,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"GNAI1","ENSG00000127955",548.894250060152,-2.38136995515317,2.57006552932381e-53,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"DKK1","ENSG00000107984",3168.96920060664,-2.92015398263843,6.21928695771507e-47,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"EGLN3","ENSG00000129521",365.203027794924,-2.24509959884734,2.41664866029028e-46,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"SERPINE2","ENSG00000135919",1506.73201360204,-2.17493912675181,1.00910795160783e-42,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"FAT4","ENSG00000196159",701.10361368599,-1.91453040161041,5.51506781142014e-42,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PRICKLE2","ENSG00000163637",1515.69317397031,-1.63143363209981,2.49873584711692e-41,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"TTYH3","ENSG00000136295",1976.26149383096,-1.70025236669519,2.49166639939309e-39,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PTGFR","ENSG00000122420",159.996834428517,-3.18282250457405,5.01243741783772e-39,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"TGFBR2","ENSG00000163513",565.593111914833,-1.8999761310221,3.44966671651503e-38,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"MARCHF1","ENSG00000145416",504.371266098115,-1.9349857636374,6.22086657441696e-38,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PARAIL","ENSG00000251136",1163.56850161961,-1.98035733740297,2.91144367346943e-37,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"SPIN4","ENSG00000186767",156.499045082124,-2.61537948171762,4.86146316061852e-36,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PHLDA1","ENSG00000139289",2884.01441677953,-1.52439103261098,1.60909011295069e-35,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"SULF1","ENSG00000137573",4090.5080321335,-1.43957006470883,9.38741619312263e-35,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PPP1R9A","ENSG00000158528",1623.11925779222,-1.45104005325491,1.42468890359991e-33,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"TRIM2","ENSG00000109654",3093.71786150493,-1.35890468327921,6.45462263124612e-33,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"IGSF10","ENSG00000152580",116.095867955331,-3.00013318886315,1.1706265817671e-32,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"KIF13A","ENSG00000137177",1683.93712574207,-1.42846697648267,1.4351712935586e-32,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"SLITRK6","ENSG00000184564",88.0159971530021,-3.70794871952543,1.73557835525888e-32,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"KIF18A","ENSG00000121621",347.804685337404,-2.25557954826843,7.19812632033622e-32,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"CAST","ENSG00000153113",3189.56885721964,-1.48474493428629,3.50071395727691e-31,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PAWR","ENSG00000177425",562.633280183715,-1.60793832347307,1.08396556854276e-30,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"DCLK1","ENSG00000133083",1028.06073442378,-1.54654639102677,1.28750767885217e-30,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"NEIL3","ENSG00000109674",112.631326789179,-3.07750163693906,1.00257265440219e-29,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"PDE4B","ENSG00000184588",878.516376653148,-1.72126622940978,4.42004713863147e-29,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"AKAP9","ENSG00000127914",4032.81750057231,-1.44734209796719,4.49714659993122e-29,"TES_only_bound","downregulated","TES_only_bound_downregulated","Down"
"TRIB1","ENSG00000173334",4585.7084484741,4.18235692516317,2.22769694938333e-229,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"KRT15","ENSG00000171346",3217.80180084832,5.24045776785518,5.49904378950062e-184,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"CGN","ENSG00000143375",1366.68539768234,4.3008526642617,6.77607040785075e-165,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"ABCA4","ENSG00000198691",846.818854594521,7.26019503406969,3.61106467099676e-119,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"MDGA1","ENSG00000112139",6212.75406597803,3.05845634565296,3.84999208589004e-115,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"SH3PXD2B","ENSG00000174705",10078.4573125023,2.71980934922782,5.83338346268766e-107,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"P2RY6","ENSG00000171631",430.741487611536,5.29947989561956,2.22102890484404e-99,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"SLC2A3","ENSG00000059804",3128.05787880138,2.58794528615447,6.4396196055925e-98,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"ARHGAP36","ENSG00000147256",476.088676889289,6.16886172596524,2.81388987325923e-95,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"LRP4","ENSG00000134569",2108.36902185486,2.88472761765719,3.19046432304154e-93,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"RYR3","ENSG00000198838",457.608047936484,3.31373676978754,5.18889590522049e-83,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"FAM222A","ENSG00000139438",484.034598394851,3.40048596958528,1.01281517543346e-80,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"SPRY4","ENSG00000187678",1589.29566700116,2.40423791327406,1.5990572916838e-73,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"WIPI1","ENSG00000070540",850.931949248027,2.49091755540546,6.13524697145848e-73,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"SLC12A8","ENSG00000221955",284.584108708658,3.87413333504754,1.08846710453767e-70,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"TG","ENSG00000042832",279.328649144448,3.3743699150195,3.40284986986372e-63,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"KRT13","ENSG00000171401",276.068835177936,4.24495085321552,3.63146010231984e-61,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"TNFRSF21","ENSG00000146072",1156.17542087429,2.28604362959457,1.69183709789654e-58,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"NID1","ENSG00000116962",5347.80760445626,1.97477470575633,6.14036876961142e-58,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"PLAT","ENSG00000104368",2981.17208452246,2.14148048266979,3.05750443235254e-55,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"COL6A3","ENSG00000163359",334.744433916687,3.14404988964006,6.5477081205639e-54,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"HAUS6","ENSG00000147874",2866.08438870837,2.30278659689958,1.69864019799381e-50,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"ETV4","ENSG00000175832",455.032835511565,2.52011944998217,1.11974482598376e-49,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"NPC1","ENSG00000141458",2247.90224506817,1.89164761037418,4.96105775292911e-49,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"ASS1","ENSG00000130707",302.561969255723,3.26327408904564,1.15053825260626e-48,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"MGAT5","ENSG00000152127",1365.70224512915,1.74923385278937,5.42397293445348e-45,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"FMN1","ENSG00000248905",830.478805765508,1.90574667786593,7.22955203932099e-43,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"C1orf21","ENSG00000116667",826.841838263922,1.69741612879118,7.17146223106297e-35,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"GLCE","ENSG00000138604",963.733387854781,1.8714031245709,2.75194286260353e-34,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"B4GALNT3","ENSG00000139044",1459.85457606872,1.56915983680758,3.05365430220991e-33,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"LZTS1-AS1","ENSG00000253733",99.650513530461,4.0771400990933,1.66602711211782e-32,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"PEG13","ENSG00000282164",461.456422921464,2.50177401759874,2.0775528820266e-32,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
"PI16","ENSG00000164530",118.931194582042,5.7811414859086,5.02126388657984e-32,"TEAD1_only_bound","upregulated","TEAD1_only_bound_upregulated","Up"
