"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","84/1962","204/9500",1.33372296896443e-11,9.28271186399243e-10,5.67183241538557e-10,"2475/5567/10451/7482/356/7042/10000/3688/288/818/5328/355/51196/22800/960/5058/5962/867/81029/3845/3709/4659/3479/3091/388112/7057/8826/3480/4313/6774/3690/406991/5578/6093/4087/7040/9475/6382/5500/6654/3685/8324/2066/2335/6714/7074/7078/3708/859/1499/7474/3693/22808/5291/5290/3791/10855/287/817/2247/2549/7097/29102/5295/1839/2099/5879/7291/1956/8321/1278/858/857/4233/51384/673/6469/286/6383/8323/4609/5747/4478/2719",84
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","65/1962","157/9500",2.14313033385222e-09,1.24301559363429e-07,7.59495311294998e-08,"10207/7482/23418/7042/7159/56288/29119/9231/657/6934/55844/7003/10413/330/81029/26524/60485/122786/652/64398/4088/999/8313/4087/4092/4089/7040/10971/5500/1496/8324/7529/84612/4771/7048/1499/8994/7474/2932/25937/5584/1739/92597/374/658/4086/324/1495/2246/5521/23286/654/896/653/1490/8321/5054/51384/5520/5516/6591/6788/8323/4609/154796",65
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","66/1962","174/9500",9.78877376873971e-08,3.30558312745236e-06,2.01974528658614e-06,"3725/4919/5567/7482/81839/27101/5599/22943/818/6934/4316/81029/4040/144165/11197/8549/122011/23002/4088/7090/6477/4775/51701/50964/8313/5578/4089/9475/2487/8324/23236/5332/4773/84133/2033/1499/7474/166336/2932/79718/59343/5602/5530/27123/817/1501/324/4163/1452/5601/896/6885/84870/5879/8321/51384/8454/5533/8323/340419/4609/8840/7091/7088/6907/2239",66
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","116/1962","362/9500",1.46852389098412e-07,3.95587834981635e-06,2.41708235530219e-06,"2782/2475/3716/55970/23566/1435/4803/117145/1942/356/3915/2786/10000/3688/5728/118788/55844/627/80310/7450/3845/4254/3479/2321/10161/54331/5529/7057/2252/22801/3480/5934/23035/3690/5578/57521/3909/23239/10971/6654/7039/3694/3655/3685/1385/2066/2335/3667/1286/1293/598/7529/5105/3455/5155/3680/9223/2932/3693/5523/5291/5290/5156/3791/374/6696/4790/1950/3558/2247/7097/56034/7424/5618/3575/3672/5295/2149/1946/2246/5521/8817/5617/896/1297/2309/3910/3908/6446/7058/5879/3696/3569/9586/1956/9863/1021/1278/3912/22798/4233/64764/6009/5520/5516/284/4609/5747/3717/3456/7010/4915/3371/2846/1288/1287",116
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","98/1962","300/9500",5.14464781848534e-07,1.1935582938886e-05,7.29276392515115e-06,"3725/1647/55970/5567/1435/5906/4803/1942/356/777/7042/11221/84451/10000/5599/355/22800/627/7189/5058/80310/3845/5908/5801/4254/1848/3479/2321/4149/4293/2252/5607/3480/4775/6416/51701/57551/5578/27092/5608/4616/773/7040/8605/25780/6654/8491/5495/7039/9448/3552/3553/785/51776/2066/5155/7048/55799/22808/2122/9175/3556/5062/5156/3791/374/5602/5530/4790/1950/2247/56034/9693/7424/4214/5921/4208/1946/2246/8817/5601/6885/4217/23118/4216/6196/2768/5879/1956/4233/673/5533/6788/284/4609/7010/4915/6197",98
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","38/1962","87/9500",9.53884843536533e-07,1.95265838559243e-05,1.19309435538316e-05,"2475/3725/1647/7042/10000/5599/6934/3845/4088/8313/4087/4089/5366/4616/7040/6654/2956/7039/7048/4292/1499/2932/5291/5290/374/5602/1950/5295/51426/4437/324/5601/5879/54205/5898/1956/673/4609",38
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","34/1962","77/9500",2.61447677252371e-06,4.54918958419125e-05,2.77960162131468e-05,"2475/3716/1647/7042/10000/5599/3845/675/4088/6774/10928/4087/4089/4616/7040/7039/6772/598/7048/5291/5337/5290/5602/4790/1950/5295/51426/5601/1871/5879/5898/1956/1021/673",34
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","38/1962","93/9500",6.73389591942699e-06,9.04788088688295e-05,5.52834827329206e-05,"7709/1647/3915/5743/10000/3688/5728/7189/330/317/4149/4843/3909/4616/3655/3685/2335/1286/598/5915/2272/5291/5290/4790/5295/51426/1871/3910/3908/54205/1021/3912/22798/4609/5747/7185/1288/1287",38
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","54/1962","150/9500",8.73620194013241e-06,0.000101339942505536,6.19197470844473e-05,"2475/1647/7482/83998/7042/10000/29119/6934/4583/81029/4040/3845/122011/399694/2252/4088/999/8313/4087/4089/4616/7040/6654/1496/8324/5915/7048/4292/1499/7474/2932/5291/5290/1950/2247/2549/5295/51426/324/1495/2246/1452/8817/1871/1956/5243/8321/4233/51384/673/6469/1015/8323/4609",54
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","29/1962","70/9500",5.9949189737485e-05,0.000463607067303217,0.00028326868601104,"6513/3725/5906/7042/10000/8453/5058/2113/3845/5908/112399/3091/7040/6654/2034/7039/5155/2033/5291/5290/5062/2549/5295/5879/4233/673/6921/2889/5063",29
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","25/1962","59/9500",0.000123389804359785,0.000766779498521519,0.000468510159411212,"1647/10000/29119/5728/6934/3845/999/8313/4616/6654/1496/4292/1499/2932/5291/5290/1950/5295/51426/324/1495/2309/1956/673/4609",25
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","55/1962","170/9500",0.000210497601836684,0.0012415790752401,0.000758617583782518,"2475/8289/1647/7482/7042/10000/5728/6934/81029/4040/4257/3845/7296/122011/8110/399694/4088/3480/29117/8313/5578/4087/4089/4616/7040/6654/7039/4780/8324/598/7048/1499/55193/7474/2932/5291/5290/86/2549/5295/51426/324/1452/1871/221357/57492/1956/8321/1021/4233/51384/673/8323/4609/6595",55
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","48/1962","148/9500",0.000486588337181669,0.0025104580214664,0.00153391566949853,"2475/3725/1647/7482/4853/10000/5728/6934/81029/4040/3845/3479/675/122011/8600/2100/399694/2252/3480/8313/4616/8648/6654/8324/182/8202/1499/7474/2932/5291/5290/1950/2247/5295/51426/324/2246/1452/8817/1871/2099/1956/8321/1021/51384/673/8323/4609",48
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","61/1962","201/9500",0.000670025327724101,0.00315092991956739,0.00192525058606356,"7709/1647/5087/221037/5328/3087/330/472/7704/2120/8091/1848/3479/2321/8900/2308/4149/2530/3480/4094/84444/4616/4211/7849/905/5077/598/861/2078/7113/5468/7048/4286/64332/2119/604/7468/8842/3576/4299/4790/4086/51426/4208/1437/8352/8464/860/3066/2115/3569/3486/5218/4233/51384/4609/5747/4300/7185/5090/7403",61
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","14/1962","29/9500",0.000810839042353863,0.00366457125635252,0.00223909072529707,"7003/5058/10413/26524/60485/122786/9770/4771/8994/25937/92597/79633/23286/6788",14
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","44/1962","137/9500",0.00102757943840256,0.00441478573535917,0.00269747948742454,"3725/1647/4803/1520/356/824/10000/79861/5599/5551/355/840/8772/1075/330/100506742/472/3845/3709/7846/317/143/2081/5366/4616/841/7277/598/3708/5291/8743/5290/5602/5783/4790/1519/5295/5601/8737/4217/54205/1508/1515/7185",44
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","33/1962","99/9500",0.00211847770929571,0.00810143123994402,0.00495005780541044,"2475/3725/126969/8394/10000/5599/80310/3845/10810/160851/3091/5578/8605/6654/8527/56261/5155/5291/5337/5290/5156/5602/1950/56034/8611/5295/6584/5601/5879/1956/9162/6009/9468",33
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","25/1962","73/9500",0.00469208001583513,0.0151237817537597,0.00924078618953257,"1647/10000/3799/3845/6774/5578/4616/238/6654/27436/7039/3800/5915/2272/5291/5290/1950/5295/51426/1871/2309/1956/1021/4233/673",25
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","33/1962","106/9500",0.0070034557869043,0.0211930662073278,0.0129491814091961,"2475/10000/5328/5728/6934/80310/3845/3479/2308/3480/6654/7039/1385/2078/7113/5155/2033/1499/2932/5291/5290/2119/5156/4790/1950/56034/5295/1871/9586/1956/64764/673/367",33
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","28/1962","90/9500",0.0124537906596469,0.0343961837266438,0.0210164219987358,"2475/3725/3716/55509/10000/5728/7189/3845/3091/4775/6774/5608/238/27436/6772/940/4773/3460/5291/5290/5530/4790/1950/7097/5295/1956/5533/3717",28
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","24/1962","75/9500",0.013843628927928,0.0373456036195266,0.0228185478860992,"1647/92344/64326/983/5728/355/472/317/3479/7057/6477/5366/4616/55240/841/598/25898/896/27244/54205/3486/1021/5054/50484",24
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","43/1962","158/9500",0.0280384323210909,0.0728162272219376,0.0444914636988245,"7709/1647/7042/983/9126/7465/472/8900/5529/4088/90381/5934/10403/4087/4089/4616/7040/10971/7529/2033/2932/25847/10274/7029/10393/25836/902/1871/896/3066/168448/1021/5001/8454/5516/5591/1875/5885/27085/4609/25/55869/10735",43
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","14/1962","41/9500",0.0309330448497442,0.0791522029978748,0.0483628100591975,"3845/7057/23604/4313/999/6714/3576/1950/1839/1871/1956/673/4609/1612",14
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","11/1962","32/9500",0.05023677004542,0.118927863780994,0.0726661478637654,"5599/840/8772/330/317/5366/841/598/5602/5601/54205",11
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","12/1962","37/9500",0.063463867894452,0.14341185731993,0.0876261197175619,"1647/8030/6934/3845/999/4616/7849/5468/1499/51426/673/4609",12
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","18/1962","63/9500",0.0840373420447555,0.173047307879141,0.105733684790038,"1647/7482/6934/81029/652/8313/4616/8324/1499/7474/2932/51426/324/2737/8321/51384/6469/8323",18
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","19/1962","71/9500",0.130636035130694,0.252563001252676,0.154318591207019,"2475/6513/10000/5214/5728/3845/3091/6510/2744/5162/5291/6514/5290/5156/5161/5295/1956/4233/4609",19
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","74/1962","320/9500",0.149075085397829,0.278914675905615,0.170419735429323,"2475/4853/1942/5743/406995/406988/7042/7431/5328/5728/960/472/5962/406911/406882/3845/8091/6541/406948/10253/8660/23405/7057/399694/7168/4363/6774/3690/10642/406991/5578/57521/6093/406922/6654/5581/406915/9839/2744/3667/1591/406885/406947/7078/5155/2033/27086/5291/5290/407020/8626/5156/4790/5295/1946/324/1871/6659/407029/4082/3066/1956/5243/1021/4233/2146/23414/4609/406894/407035/8434/3371/25/407007",74
